Neighbourhood,Hood_ID,Year,Crime_Type,Crime_Count,Crime_Rate,Population_2025
South Eglinton-Davisville,174,2025,THEFTOVER,6.0,20.7598094940186,28902
North Toronto,173,2014,ASSAULT,53.0,455.757171630859,20582
North Toronto,173,2014,AUTOTHEFT,8.0,68.7935333251953,20582
North Toronto,173,2014,BIKETHEFT,8.0,68.7935333251953,20582
North Toronto,173,2014,BREAKENTER,25.0,214.979797363281,20582
North Toronto,173,2014,HOMICIDE,,,20582
North Toronto,173,2014,ROBBERY,7.0,60.1943435668945,20582
North Toronto,173,2014,SHOOTING,,,20582
North Toronto,173,2014,THEFTFROMMV,23.0,197.781402587891,20582
North Toronto,173,2014,THEFTOVER,2.0,17.1983833312988,20582
North Toronto,173,2015,ASSAULT,57.0,492.313018798828,20582
North Toronto,173,2015,AUTOTHEFT,2.0,17.2741413116455,20582
North Toronto,173,2015,BIKETHEFT,13.0,112.281913757324,20582
North Toronto,173,2015,BREAKENTER,44.0,380.031097412109,20582
North Toronto,173,2015,HOMICIDE,,,20582
North Toronto,173,2015,ROBBERY,12.0,103.644844055176,20582
North Toronto,173,2015,SHOOTING,,,20582
North Toronto,173,2015,THEFTFROMMV,7.0,60.4594917297363,20582
North Toronto,173,2015,THEFTOVER,3.0,25.9112110137939,20582
North Toronto,173,2016,ASSAULT,47.0,406.398620605469,20582
North Toronto,173,2016,AUTOTHEFT,2.0,17.2935581207275,20582
North Toronto,173,2016,BIKETHEFT,9.0,77.8210144042969,20582
North Toronto,173,2016,BREAKENTER,15.0,129.701690673828,20582
North Toronto,173,2016,HOMICIDE,,,20582
North Toronto,173,2016,ROBBERY,8.0,69.1742324829102,20582
North Toronto,173,2016,SHOOTING,,,20582
North Toronto,173,2016,THEFTFROMMV,15.0,129.701690673828,20582
North Toronto,173,2016,THEFTOVER,2.0,17.2935581207275,20582
North Toronto,173,2017,ASSAULT,61.0,482.213439941406,20582
North Toronto,173,2017,AUTOTHEFT,2.0,15.8102769851685,20582
North Toronto,173,2017,BIKETHEFT,14.0,110.671936035156,20582
North Toronto,173,2017,BREAKENTER,24.0,189.723327636719,20582
North Toronto,173,2017,HOMICIDE,,,20582
North Toronto,173,2017,ROBBERY,6.0,47.4308319091797,20582
North Toronto,173,2017,SHOOTING,,,20582
North Toronto,173,2017,THEFTFROMMV,14.0,110.671936035156,20582
North Toronto,173,2017,THEFTOVER,2.0,15.8102769851685,20582
North Toronto,173,2018,ASSAULT,66.0,477.5341796875,20582
North Toronto,173,2018,AUTOTHEFT,3.0,21.7060985565186,20582
North Toronto,173,2018,BIKETHEFT,18.0,130.236602783203,20582
North Toronto,173,2018,BREAKENTER,42.0,303.885406494141,20582
North Toronto,173,2018,HOMICIDE,,,20582
North Toronto,173,2018,ROBBERY,14.0,101.295127868652,20582
North Toronto,173,2018,SHOOTING,,,20582
North Toronto,173,2018,THEFTFROMMV,8.0,57.8829307556152,20582
North Toronto,173,2018,THEFTOVER,5.0,36.1768341064453,20582
North Toronto,173,2019,ASSAULT,84.0,561.760192871094,20582
North Toronto,173,2019,AUTOTHEFT,5.0,33.4381065368652,20582
North Toronto,173,2019,BIKETHEFT,22.0,147.127670288086,20582
North Toronto,173,2019,BREAKENTER,36.0,240.754364013672,20582
North Toronto,173,2019,HOMICIDE,1.0,6.68762111663818,20582
North Toronto,173,2019,ROBBERY,19.0,127.064804077148,20582
North Toronto,173,2019,SHOOTING,1.0,6.68762111663818,20582
North Toronto,173,2019,THEFTFROMMV,18.0,120.377182006836,20582
North Toronto,173,2019,THEFTOVER,4.0,26.7504844665527,20582
North Toronto,173,2020,ASSAULT,80.0,501.284545898438,20582
North Toronto,173,2020,AUTOTHEFT,14.0,87.7247924804688,20582
North Toronto,173,2020,BIKETHEFT,52.0,325.8349609375,20582
North Toronto,173,2020,BREAKENTER,89.0,557.679077148438,20582
North Toronto,173,2020,HOMICIDE,1.0,6.26605653762817,20582
North Toronto,173,2020,ROBBERY,3.0,18.7981700897217,20582
North Toronto,173,2020,SHOOTING,,,20582
North Toronto,173,2020,THEFTFROMMV,26.0,162.91748046875,20582
North Toronto,173,2020,THEFTOVER,7.0,43.8623962402344,20582
North Toronto,173,2021,ASSAULT,118.0,700.504577636719,20582
North Toronto,173,2021,AUTOTHEFT,15.0,89.0471954345703,20582
North Toronto,173,2021,BIKETHEFT,23.0,136.539031982422,20582
North Toronto,173,2021,BREAKENTER,49.0,290.887512207031,20582
North Toronto,173,2021,HOMICIDE,,,20582
North Toronto,173,2021,ROBBERY,12.0,71.2377548217773,20582
North Toronto,173,2021,SHOOTING,1.0,5.93647956848145,20582
North Toronto,173,2021,THEFTFROMMV,16.0,94.9836730957031,20582
North Toronto,173,2021,THEFTOVER,2.0,11.8729591369629,20582
North Toronto,173,2022,ASSAULT,136.0,766.369873046875,20582
North Toronto,173,2022,AUTOTHEFT,10.0,56.3507270812988,20582
North Toronto,173,2022,BIKETHEFT,12.0,67.6208724975586,20582
North Toronto,173,2022,BREAKENTER,48.0,270.483489990234,20582
North Toronto,173,2022,HOMICIDE,,,20582
North Toronto,173,2022,ROBBERY,12.0,67.6208724975586,20582
North Toronto,173,2022,SHOOTING,1.0,5.63507270812988,20582
North Toronto,173,2022,THEFTFROMMV,24.0,135.241744995117,20582
North Toronto,173,2022,THEFTOVER,4.0,22.5402908325195,20582
North Toronto,173,2023,ASSAULT,105.0,554.177429199219,20582
North Toronto,173,2023,AUTOTHEFT,20.0,105.557609558105,20582
North Toronto,173,2023,BIKETHEFT,22.0,116.11336517334,20582
North Toronto,173,2023,BREAKENTER,31.0,163.614288330078,20582
North Toronto,173,2023,HOMICIDE,,,20582
North Toronto,173,2023,ROBBERY,14.0,73.8903274536133,20582
North Toronto,173,2023,SHOOTING,,,20582
North Toronto,173,2023,THEFTFROMMV,40.0,211.115219116211,20582
North Toronto,173,2023,THEFTOVER,7.0,36.9451637268066,20582
North Toronto,173,2024,ASSAULT,128.0,640.160034179688,20582
North Toronto,173,2024,AUTOTHEFT,10.0,50.0125045776367,20582
North Toronto,173,2024,BIKETHEFT,14.0,70.0175018310547,20582
North Toronto,173,2024,BREAKENTER,31.0,155.038757324219,20582
North Toronto,173,2024,HOMICIDE,,,20582
North Toronto,173,2024,ROBBERY,18.0,90.0225067138672,20582
North Toronto,173,2024,SHOOTING,1.0,5.00125026702881,20582
North Toronto,173,2024,THEFTFROMMV,11.0,55.0137519836426,20582
North Toronto,173,2024,THEFTOVER,6.0,30.0075016021729,20582
North Toronto,173,2025,ASSAULT,129.0,626.76123046875,20582
North Toronto,173,2025,AUTOTHEFT,14.0,68.0205993652344,20582
North Toronto,173,2025,BIKETHEFT,15.0,72.8792114257813,20582
North Toronto,173,2025,BREAKENTER,36.0,174.910110473633,20582
North Toronto,173,2025,HOMICIDE,,,20582
North Toronto,173,2025,ROBBERY,11.0,53.4447593688965,20582
North Toronto,173,2025,SHOOTING,,,20582
North Toronto,173,2025,THEFTFROMMV,13.0,63.1619873046875,20582
North Toronto,173,2025,THEFTOVER,5.0,24.2930717468262,20582
Dovercourt Village,172,2014,ASSAULT,62.0,456.150665283203,13129
Dovercourt Village,172,2014,AUTOTHEFT,11.0,80.9299621582031,13129
Dovercourt Village,172,2014,BIKETHEFT,29.0,213.360794067383,13129
Dovercourt Village,172,2014,BREAKENTER,38.0,279.576232910156,13129
Dovercourt Village,172,2014,HOMICIDE,1.0,7.35726881027222,13129
Dovercourt Village,172,2014,ROBBERY,29.0,213.360794067383,13129
Dovercourt Village,172,2014,SHOOTING,,,13129
Dovercourt Village,172,2014,THEFTFROMMV,45.0,331.077117919922,13129
Dovercourt Village,172,2014,THEFTOVER,5.0,36.7863464355469,13129
Dovercourt Village,172,2015,ASSAULT,65.0,481.41015625,13129
Dovercourt Village,172,2015,AUTOTHEFT,15.0,111.094650268555,13129
Dovercourt Village,172,2015,BIKETHEFT,35.0,259.220855712891,13129
Dovercourt Village,172,2015,BREAKENTER,22.0,162.938827514648,13129
Dovercourt Village,172,2015,HOMICIDE,,,13129
Dovercourt Village,172,2015,ROBBERY,27.0,199.970367431641,13129
Dovercourt Village,172,2015,SHOOTING,,,13129
Dovercourt Village,172,2015,THEFTFROMMV,38.0,281.439788818359,13129
Dovercourt Village,172,2015,THEFTOVER,3.0,22.2189311981201,13129
Dovercourt Village,172,2016,ASSAULT,92.0,680.171508789063,13129
Dovercourt Village,172,2016,AUTOTHEFT,18.0,133.077041625977,13129
Dovercourt Village,172,2016,BIKETHEFT,55.0,406.624267578125,13129
Dovercourt Village,172,2016,BREAKENTER,38.0,280.940399169922,13129
Dovercourt Village,172,2016,HOMICIDE,,,13129
Dovercourt Village,172,2016,ROBBERY,16.0,118.290702819824,13129
Dovercourt Village,172,2016,SHOOTING,2.0,14.786337852478,13129
Dovercourt Village,172,2016,THEFTFROMMV,51.0,377.051605224609,13129
Dovercourt Village,172,2016,THEFTOVER,5.0,36.9658432006836,13129
Dovercourt Village,172,2017,ASSAULT,105.0,777.893005371094,13129
Dovercourt Village,172,2017,AUTOTHEFT,15.0,111.127571105957,13129
Dovercourt Village,172,2017,BIKETHEFT,47.0,348.199737548828,13129
Dovercourt Village,172,2017,BREAKENTER,39.0,288.931701660156,13129
Dovercourt Village,172,2017,HOMICIDE,1.0,7.40850496292114,13129
Dovercourt Village,172,2017,ROBBERY,42.0,311.157196044922,13129
Dovercourt Village,172,2017,SHOOTING,,,13129
Dovercourt Village,172,2017,THEFTFROMMV,43.0,318.565704345703,13129
Dovercourt Village,172,2017,THEFTOVER,3.0,22.2255153656006,13129
Dovercourt Village,172,2018,ASSAULT,106.0,785.942016601563,13129
Dovercourt Village,172,2018,AUTOTHEFT,12.0,88.9745712280273,13129
Dovercourt Village,172,2018,BIKETHEFT,30.0,222.436416625977,13129
Dovercourt Village,172,2018,BREAKENTER,50.0,370.727355957031,13129
Dovercourt Village,172,2018,HOMICIDE,,,13129
Dovercourt Village,172,2018,ROBBERY,35.0,259.509155273438,13129
Dovercourt Village,172,2018,SHOOTING,,,13129
Dovercourt Village,172,2018,THEFTFROMMV,87.0,645.065612792969,13129
Dovercourt Village,172,2018,THEFTOVER,4.0,29.6581897735596,13129
Dovercourt Village,172,2019,ASSAULT,113.0,841.149353027344,13129
Dovercourt Village,172,2019,AUTOTHEFT,13.0,96.7693939208984,13129
Dovercourt Village,172,2019,BIKETHEFT,27.0,200.982574462891,13129
Dovercourt Village,172,2019,BREAKENTER,83.0,617.835327148438,13129
Dovercourt Village,172,2019,HOMICIDE,2.0,14.887598991394,13129
Dovercourt Village,172,2019,ROBBERY,17.0,126.544586181641,13129
Dovercourt Village,172,2019,SHOOTING,,,13129
Dovercourt Village,172,2019,THEFTFROMMV,79.0,588.060119628906,13129
Dovercourt Village,172,2019,THEFTOVER,4.0,29.7751979827881,13129
Dovercourt Village,172,2020,ASSAULT,91.0,685.602355957031,13129
Dovercourt Village,172,2020,AUTOTHEFT,24.0,180.818206787109,13129
Dovercourt Village,172,2020,BIKETHEFT,32.0,241.090942382813,13129
Dovercourt Village,172,2020,BREAKENTER,47.0,354.102325439453,13129
Dovercourt Village,172,2020,HOMICIDE,1.0,7.53409194946289,13129
Dovercourt Village,172,2020,ROBBERY,16.0,120.545471191406,13129
Dovercourt Village,172,2020,SHOOTING,,,13129
Dovercourt Village,172,2020,THEFTFROMMV,68.0,512.318237304688,13129
Dovercourt Village,172,2020,THEFTOVER,3.0,22.6022758483887,13129
Dovercourt Village,172,2021,ASSAULT,115.0,878.8017578125,13129
Dovercourt Village,172,2021,AUTOTHEFT,11.0,84.0593032836914,13129
Dovercourt Village,172,2021,BIKETHEFT,27.0,206.327377319336,13129
Dovercourt Village,172,2021,BREAKENTER,19.0,145.193328857422,13129
Dovercourt Village,172,2021,HOMICIDE,,,13129
Dovercourt Village,172,2021,ROBBERY,22.0,168.118606567383,13129
Dovercourt Village,172,2021,SHOOTING,2.0,15.2835092544556,13129
Dovercourt Village,172,2021,THEFTFROMMV,18.0,137.551574707031,13129
Dovercourt Village,172,2021,THEFTOVER,2.0,15.2835092544556,13129
Dovercourt Village,172,2022,ASSAULT,103.0,786.800109863281,13129
Dovercourt Village,172,2022,AUTOTHEFT,25.0,190.970901489258,13129
Dovercourt Village,172,2022,BIKETHEFT,20.0,152.776718139648,13129
Dovercourt Village,172,2022,BREAKENTER,33.0,252.081588745117,13129
Dovercourt Village,172,2022,HOMICIDE,,,13129
Dovercourt Village,172,2022,ROBBERY,14.0,106.943702697754,13129
Dovercourt Village,172,2022,SHOOTING,,,13129
Dovercourt Village,172,2022,THEFTFROMMV,29.0,221.526245117188,13129
Dovercourt Village,172,2022,THEFTOVER,4.0,30.5553436279297,13129
Dovercourt Village,172,2023,ASSAULT,104.0,783.8408203125,13129
Dovercourt Village,172,2023,AUTOTHEFT,29.0,218.570999145508,13129
Dovercourt Village,172,2023,BIKETHEFT,38.0,286.403381347656,13129
Dovercourt Village,172,2023,BREAKENTER,46.0,346.698822021484,13129
Dovercourt Village,172,2023,HOMICIDE,,,13129
Dovercourt Village,172,2023,ROBBERY,21.0,158.275543212891,13129
Dovercourt Village,172,2023,SHOOTING,1.0,7.53693103790283,13129
Dovercourt Village,172,2023,THEFTFROMMV,25.0,188.423278808594,13129
Dovercourt Village,172,2023,THEFTOVER,3.0,22.6107921600342,13129
Dovercourt Village,172,2024,ASSAULT,118.0,883.762756347656,13129
Dovercourt Village,172,2024,AUTOTHEFT,36.0,269.622528076172,13129
Dovercourt Village,172,2024,BIKETHEFT,34.0,254.643493652344,13129
Dovercourt Village,172,2024,BREAKENTER,45.0,337.028167724609,13129
Dovercourt Village,172,2024,HOMICIDE,,,13129
Dovercourt Village,172,2024,ROBBERY,12.0,89.8741760253906,13129
Dovercourt Village,172,2024,SHOOTING,2.0,14.9790296554565,13129
Dovercourt Village,172,2024,THEFTFROMMV,22.0,164.769317626953,13129
Dovercourt Village,172,2024,THEFTOVER,7.0,52.4266014099121,13129
Dovercourt Village,172,2025,ASSAULT,128.0,974.940979003906,13129
Dovercourt Village,172,2025,AUTOTHEFT,17.0,129.484344482422,13129
Dovercourt Village,172,2025,BIKETHEFT,23.0,175.184707641602,13129
Dovercourt Village,172,2025,BREAKENTER,31.0,236.118515014648,13129
Dovercourt Village,172,2025,HOMICIDE,,,13129
Dovercourt Village,172,2025,ROBBERY,9.0,68.550537109375,13129
Dovercourt Village,172,2025,SHOOTING,,,13129
Dovercourt Village,172,2025,THEFTFROMMV,19.0,144.717803955078,13129
Dovercourt Village,172,2025,THEFTOVER,3.0,22.8501796722412,13129
Junction-Wallace Emerson,171,2014,ASSAULT,164.0,698.258605957031,27777
Junction-Wallace Emerson,171,2014,AUTOTHEFT,21.0,89.4111633300781,27777
Junction-Wallace Emerson,171,2014,BIKETHEFT,42.0,178.822326660156,27777
Junction-Wallace Emerson,171,2014,BREAKENTER,37.0,157.533950805664,27777
Junction-Wallace Emerson,171,2014,HOMICIDE,1.0,4.25767469406128,27777
Junction-Wallace Emerson,171,2014,ROBBERY,26.0,110.69953918457,27777
Junction-Wallace Emerson,171,2014,SHOOTING,,,27777
Junction-Wallace Emerson,171,2014,THEFTFROMMV,74.0,315.067901611328,27777
Junction-Wallace Emerson,171,2014,THEFTOVER,5.0,21.2883720397949,27777
Junction-Wallace Emerson,171,2015,ASSAULT,159.0,667.0302734375,27777
Junction-Wallace Emerson,171,2015,AUTOTHEFT,18.0,75.5128555297852,27777
Junction-Wallace Emerson,171,2015,BIKETHEFT,41.0,172.001510620117,27777
Junction-Wallace Emerson,171,2015,BREAKENTER,46.0,192.977310180664,27777
Junction-Wallace Emerson,171,2015,HOMICIDE,3.0,12.5854759216309,27777
Junction-Wallace Emerson,171,2015,ROBBERY,30.0,125.854766845703,27777
Junction-Wallace Emerson,171,2015,SHOOTING,2.0,8.39031791687012,27777
Junction-Wallace Emerson,171,2015,THEFTFROMMV,26.0,109.074127197266,27777
Junction-Wallace Emerson,171,2015,THEFTOVER,5.0,20.975793838501,27777
Junction-Wallace Emerson,171,2016,ASSAULT,171.0,697.902221679688,27777
Junction-Wallace Emerson,171,2016,AUTOTHEFT,14.0,57.1381912231445,27777
Junction-Wallace Emerson,171,2016,BIKETHEFT,50.0,204.064971923828,27777
Junction-Wallace Emerson,171,2016,BREAKENTER,41.0,167.333282470703,27777
Junction-Wallace Emerson,171,2016,HOMICIDE,,,27777
Junction-Wallace Emerson,171,2016,ROBBERY,27.0,110.195083618164,27777
Junction-Wallace Emerson,171,2016,SHOOTING,1.0,4.08129930496216,27777
Junction-Wallace Emerson,171,2016,THEFTFROMMV,48.0,195.902374267578,27777
Junction-Wallace Emerson,171,2016,THEFTOVER,6.0,24.4877967834473,27777
Junction-Wallace Emerson,171,2017,ASSAULT,161.0,652.879150390625,27777
Junction-Wallace Emerson,171,2017,AUTOTHEFT,18.0,72.9926986694336,27777
Junction-Wallace Emerson,171,2017,BIKETHEFT,63.0,255.474456787109,27777
Junction-Wallace Emerson,171,2017,BREAKENTER,51.0,206.812652587891,27777
Junction-Wallace Emerson,171,2017,HOMICIDE,1.0,4.05515003204346,27777
Junction-Wallace Emerson,171,2017,ROBBERY,30.0,121.654502868652,27777
Junction-Wallace Emerson,171,2017,SHOOTING,5.0,20.2757511138916,27777
Junction-Wallace Emerson,171,2017,THEFTFROMMV,72.0,291.970794677734,27777
Junction-Wallace Emerson,171,2017,THEFTOVER,6.0,24.3309001922607,27777
Junction-Wallace Emerson,171,2018,ASSAULT,163.0,655.408142089844,27777
Junction-Wallace Emerson,171,2018,AUTOTHEFT,34.0,136.710891723633,27777
Junction-Wallace Emerson,171,2018,BIKETHEFT,67.0,269.40087890625,27777
Junction-Wallace Emerson,171,2018,BREAKENTER,91.0,365.902679443359,27777
Junction-Wallace Emerson,171,2018,HOMICIDE,,,27777
Junction-Wallace Emerson,171,2018,ROBBERY,22.0,88.4599914550781,27777
Junction-Wallace Emerson,171,2018,SHOOTING,3.0,12.062726020813,27777
Junction-Wallace Emerson,171,2018,THEFTFROMMV,153.0,615.199035644531,27777
Junction-Wallace Emerson,171,2018,THEFTOVER,9.0,36.1881790161133,27777
Junction-Wallace Emerson,171,2019,ASSAULT,186.0,743.345825195313,27777
Junction-Wallace Emerson,171,2019,AUTOTHEFT,24.0,95.9155960083008,27777
Junction-Wallace Emerson,171,2019,BIKETHEFT,70.0,279.753814697266,27777
Junction-Wallace Emerson,171,2019,BREAKENTER,103.0,411.637756347656,27777
Junction-Wallace Emerson,171,2019,HOMICIDE,1.0,3.99648308753967,27777
Junction-Wallace Emerson,171,2019,ROBBERY,32.0,127.88745880127,27777
Junction-Wallace Emerson,171,2019,SHOOTING,2.0,7.99296617507935,27777
Junction-Wallace Emerson,171,2019,THEFTFROMMV,124.0,495.563903808594,27777
Junction-Wallace Emerson,171,2019,THEFTOVER,4.0,15.9859323501587,27777
Junction-Wallace Emerson,171,2020,ASSAULT,171.0,685.34326171875,27777
Junction-Wallace Emerson,171,2020,AUTOTHEFT,47.0,188.369201660156,27777
Junction-Wallace Emerson,171,2020,BIKETHEFT,54.0,216.424194335938,27777
Junction-Wallace Emerson,171,2020,BREAKENTER,110.0,440.864105224609,27777
Junction-Wallace Emerson,171,2020,HOMICIDE,,,27777
